"FILENAME","SAMPLINGRATE","BIT","DURATION","CHANNELS","INDEX","FFT_W","MIN_FREQ","MAX_FREQ","J","LEFT_CHANNEL","RIGHT_CHANNEL","aru","site"
"19700102_052000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1271.60403,"NA ","wg01_","cbma"
"19700102_053000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1291.088527,"NA ","wg01_","cbma"
"19700102_054000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1300.634689,"NA ","wg01_","cbma"
"19700102_055000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1308.450247,"NA ","wg01_","cbma"
"19700102_060000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1364.063272,"NA ","wg01_","cbma"
"19700102_061000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1304.888259,"NA ","wg01_","cbma"
"19700102_062000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1310.330118,"NA ","wg01_","cbma"
"19700102_063000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1273.099419,"NA ","wg01_","cbma"
"19700102_064000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1496.980455,"NA ","wg01_","cbma"
"19700102_065000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1311.567225,"NA ","wg01_","cbma"
"19700102_070000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1313.086547,"NA ","wg01_","cbma"
"19700102_071000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1342.453106,"NA ","wg01_","cbma"
"19700102_072000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1317.856364,"NA ","wg01_","cbma"
"19700102_073000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1382.977475,"NA ","wg01_","cbma"
"19700102_074000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1394.61117,"NA ","wg01_","cbma"
"19700102_075000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1362.041738,"NA ","wg01_","cbma"
"19700102_080000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1342.376305,"NA ","wg01_","cbma"
"19700102_081000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1311.333196,"NA ","wg01_","cbma"
"19700102_082000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1569.626316,"NA ","wg01_","cbma"
"19700102_083000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1742.440485,"NA ","wg01_","cbma"
"19700102_084000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1306.819495,"NA ","wg01_","cbma"
"19700102_085000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1324.032303,"NA ","wg01_","cbma"
"19700102_090000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1318.44029,"NA ","wg01_","cbma"
"19700102_091000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1324.397512,"NA ","wg01_","cbma"
"19700102_092000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1261.326817,"NA ","wg01_","cbma"
"19700102_093000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1280.311338,"NA ","wg01_","cbma"
"19700102_094000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1253.388851,"NA ","wg01_","cbma"
"19700102_095000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1257.124018,"NA ","wg01_","cbma"
"19700102_100000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1287.204745,"NA ","wg01_","cbma"
"19700102_101000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1272.423218,"NA ","wg01_","cbma"
"19700102_102000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1311.180263,"NA ","wg01_","cbma"
"19700102_103000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1343.006013,"NA ","wg01_","cbma"
"19700102_104000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1244.181484,"NA ","wg01_","cbma"
"19700102_105000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1265.849591,"NA ","wg01_","cbma"
"19700102_110000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1318.751595,"NA ","wg01_","cbma"
"19700102_111000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1317.967508,"NA ","wg01_","cbma"
"19700102_112000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1305.012024,"NA ","wg01_","cbma"
"19700102_113000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1278.53714,"NA ","wg01_","cbma"
"19700102_114000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1292.4631,"NA ","wg01_","cbma"
"19700102_115000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1238.307028,"NA ","wg01_","cbma"
"19700102_120000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1266.34649,"NA ","wg01_","cbma"
"19700102_121000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1260.492688,"NA ","wg01_","cbma"
"19700102_122000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1445.433214,"NA ","wg01_","cbma"
"19700102_123000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1330.65154,"NA ","wg01_","cbma"
"19700102_124000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1302.008127,"NA ","wg01_","cbma"
"19700102_125000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1372.751873,"NA ","wg01_","cbma"
"19700103_050000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1286.03521,"NA ","wg01_","cbma"
"19700103_051000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1284.752252,"NA ","wg01_","cbma"
"19700103_052000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1315.783797,"NA ","wg01_","cbma"
"19700103_053000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1280.735026,"NA ","wg01_","cbma"
"19700103_054000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1262.10112,"NA ","wg01_","cbma"
"19700103_055000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1258.297543,"NA ","wg01_","cbma"
"19700103_060000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1249.030476,"NA ","wg01_","cbma"
"19700103_061000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1253.351527,"NA ","wg01_","cbma"
"19700103_062000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1273.80787,"NA ","wg01_","cbma"
"19700103_063000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1260.288956,"NA ","wg01_","cbma"
"19700103_064000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1256.587027,"NA ","wg01_","cbma"
"19700103_065000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1369.960331,"NA ","wg01_","cbma"
"19700103_070000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1517.596778,"NA ","wg01_","cbma"
"19700103_071000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1266.770168,"NA ","wg01_","cbma"
"19700103_072000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1268.717275,"NA ","wg01_","cbma"
"19700103_073000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1319.525106,"NA ","wg01_","cbma"
"19700103_074000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1645.354461,"NA ","wg01_","cbma"
"19700103_075000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1327.936561,"NA ","wg01_","cbma"
"19700103_080000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1284.605508,"NA ","wg01_","cbma"
"19700103_081000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1300.33185,"NA ","wg01_","cbma"
"19700103_082000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1278.906649,"NA ","wg01_","cbma"
"19700103_083000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1363.668554,"NA ","wg01_","cbma"
"19700103_084000.WAV",48000,16,120,1,"acoustic_complexity",512,1,8000,5,1353.08343,"NA ","wg01_","cbma"
