scientific_name,common_name,granivore,body_mass,num_ind,tewl25_mghr-1,tewl40-mghr-1,log_slope_ewl,activity_phase,reference
Passerculus sandwichensis,Savannah sparrow,N,17.4,12,135.7,NA,NA,R,Williams and Hansell 1981
Piranga olivacea,scarlet tanager,N,27.3,4,150,NA,NA,A,Ro and Williams 2010
Zanda latirostris,slender-billed black-cockatoo,N,665,4,591.9,NA,NA,R,Cooper et al. 2002
Philetairus socius,sociable weaver,N,24.9,25,933,385.6,5.4,A,Whitfield et al. 2015
Melospiza melodia,song sparrow,N,19.3,6,137.5,NA,NA,A,Ro and Williams 2010
Onychoprion fuscatus,sooty tern,N,155.9,4,320.4,816.2,NA,A,MacMillen et al. 1977
Catharacta maccormicki,South Polar Skua,N,1249.5,6,3279.2,NA,NA,A,Morgan et al. 1992
Nectarinia chalybea,Southern double-collared sunbird,N,7.6,5,81.3,257.4,2.8,A,Milne et al. 2015
Colius striatus,Speckled Mousebird,N,52.5,6,132.8,NA,NA,A,Bartholomew and Trost 1970
Acanthagenys rufogularis,Spiny-cheeked Honeyeater,N,41.7,20,230,478.2,5,A,McKechnie et al. 2017
Eurostopodus argus,Spotted eared-nightjar,N,88,2,320.3,400.8,5.2,R,Dawson and Fisher 1969
Strix occidentalis,Spotted owl,N,571,4,1827.2,3372,4.7,A,Ganey et al. 1993
Cyanocitta stelleri,Steller’s Jay,N,99.1,8,412.4,NA,NA,A,Mann 1983
Cacatua galerita,Sulphur-crested Cockatoo,Y,776.1,4,1366,NA,NA,R,Williams et al. 1991
Tachycineta bicolor,Tree swallow,N,16.3,5,141.7,NA,NA,A,Ro and Williams 2010
Cathartes aura,Turkey Vulture,N,1380.3,6,1877.2,7429,6.2,A,"Arad and Bernstein, 1988"
Sporophila corvina,Variable seedeater,Y,9.8,13,87.4,212.7,3.8,A,Weathers 1997
Auriparus flaviceps,Verdin,N,7,8,39.8,144.2,3.6,R,Wolf and Walsberg 1996
Bradypterus victorini,Victorin’s Warbler,N,16.6,3,139.4,355.2,3.2,A,Milne et al. 2015
Ploceus cucullatus,village weaver,Y,39.6,8,NA,702,4.7,R,Lasiewski and Seymour 1972
Ardenna pacifica,Wedge-tailed Shearwater,N,320.5,18,519.2,3718.7,6.2,A,Whittow et al. 1987
Cacatua pastinator,Western Corella,Y,717,3,394.4,NA,NA,R,Cooper et al. 2002
Megascops kennicottii,western screech-owl,N,101.3,23,615,1012,5.5,A,Talbot et al. 2018
Lagopus leucura,white-tailed ptarmigan,N,326,24,772.6,3785.8,NA,A,Johnson 1968
Lonchura malabarica,white-throated silverbill,Y,11,7,78.9,NA,NA,A,Willoughby 1969
Zenaida asiatica,white-winged dove,Y,147.3,52,990,1494.6,5.8,A,Smith et al. 2015
Oceanites oceanicus,Wilson's storm-petrel,N,34.1,6,250,NA,NA,A,Morgan et al. 1992
Lullula arborea,wood lark,N,25.5,14,175,458.9,NA,R,Tieleman et al. 2002
Sitta europaea,wood nuthatch,N,21,NA,90.8,NA,NA,R,Shilov 1968
Pica nuttalli,Yellow-billed magpie,N,151.9,12,525,2062.8,5.1,R,Hayworth and Weathers 1983
Lichenostomus ornatus,Yellow-plumed honeyeater,N,16.7,20,120,320.4,4.3,A,McKechnie et al. 2017
Taeniopygia guttata,zebra finch,N,12,12,103.1,NA,NA,A,Calder 1964
