filename,samplingrate,bit,duration,channels,index,fft_w,min_freq,max_freq,left_channel,right_channel,aru,site
20210523_050000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,4.009560769,NA ,aru01,lwma
20210523_051000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,2.728736101,NA ,aru01,lwma
20210523_052000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,2.701454472,NA ,aru01,lwma
20210523_053000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,3.350137581,NA ,aru01,lwma
20210523_054000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.690732425,NA ,aru01,lwma
20210523_055000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,7.782275711,NA ,aru01,lwma
20210523_060000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.433589988,NA ,aru01,lwma
20210523_061000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.251242076,NA ,aru01,lwma
20210523_062000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,7.701226,NA ,aru01,lwma
20210523_063000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.820172565,NA ,aru01,lwma
20210523_064000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.680346489,NA ,aru01,lwma
20210523_065000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,4.549473338,NA ,aru01,lwma
20210523_070000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,3.855259115,NA ,aru01,lwma
20210523_071000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,4.269678227,NA ,aru01,lwma
20210523_072000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.469675787,NA ,aru01,lwma
20210523_073000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.415387428,NA ,aru01,lwma
20210523_074000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.976321172,NA ,aru01,lwma
20210523_075000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.295012848,NA ,aru01,lwma
20210523_080000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.885142639,NA ,aru01,lwma
20210523_081000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.236188982,NA ,aru01,lwma
20210523_082000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.830019719,NA ,aru01,lwma
20210523_083000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.650807413,NA ,aru01,lwma
20210523_084000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.568753994,NA ,aru01,lwma
20210523_085000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.207220814,NA ,aru01,lwma
20210523_090000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.231267819,NA ,aru01,lwma
20210523_091000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.015983244,NA ,aru01,lwma
20210523_092000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,4.472341784,NA ,aru01,lwma
20210523_093000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.438724682,NA ,aru01,lwma
20210523_094000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.338926268,NA ,aru01,lwma
20210523_095000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.301908097,NA ,aru01,lwma
20210523_100000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,4.020404865,NA ,aru01,lwma
20210523_101000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,7.045278912,NA ,aru01,lwma
20210523_102000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.128123316,NA ,aru01,lwma
20210523_103000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.421376813,NA ,aru01,lwma
20210523_104000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.997001179,NA ,aru01,lwma
20210523_105000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.587031245,NA ,aru01,lwma
20210523_110000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.354358244,NA ,aru01,lwma
20210523_111000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.589834966,NA ,aru01,lwma
20210523_112000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,3.333809029,NA ,aru01,lwma
20210523_113000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,3.281152129,NA ,aru01,lwma
20210523_114000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.896123794,NA ,aru01,lwma
20210523_115000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.237187806,NA ,aru01,lwma
20210523_120000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.112974278,NA ,aru01,lwma
20210523_121000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.918146204,NA ,aru01,lwma
20210523_122000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.874699806,NA ,aru01,lwma
20210523_123000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.66158557,NA ,aru01,lwma
20210523_124000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.328969817,NA ,aru01,lwma
20210523_125000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.412849835,NA ,aru01,lwma
20210524_050000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,2.309843724,NA ,aru01,lwma
20210524_051000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,2.494501561,NA ,aru01,lwma
20210524_052000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,2.675401638,NA ,aru01,lwma
20210524_053000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,2.694843394,NA ,aru01,lwma
20210524_054000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,5.462763814,NA ,aru01,lwma
20210524_055000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.293463029,NA ,aru01,lwma
20210524_060000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,7.4641813,NA ,aru01,lwma
20210524_061000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,7.963547365,NA ,aru01,lwma
20210524_062000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,6.711079421,NA ,aru01,lwma
