"FILENAME","SAMPLINGRATE","BIT","DURATION","CHANNELS","INDEX","MAX_FREQ","DB_THRESHOLD","FREQ_STEPS","LEFT_CHANNEL","RIGHT_CHANNEL","aru","site"
"20210524_054000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.157618,"NA ","aru01","lwma"
"20210524_055000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.023235,"NA ","aru01","lwma"
"20210524_060000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.017004,"NA ","aru01","lwma"
"20210524_061000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.037368,"NA ","aru01","lwma"
"20210524_062000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.09769,"NA ","aru01","lwma"
"20210524_063000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.080502,"NA ","aru01","lwma"
"20210524_064000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.054985,"NA ","aru01","lwma"
"20210524_065000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.060794,"NA ","aru01","lwma"
"20210524_070000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.03446,"NA ","aru01","lwma"
"20210524_071000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.03552,"NA ","aru01","lwma"
"20210524_072000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.036994,"NA ","aru01","lwma"
"20210524_073000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.481863,"NA ","aru01","lwma"
"20210524_074000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.100185,"NA ","aru01","lwma"
"20210524_075000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.112436,"NA ","aru01","lwma"
"20210524_080000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.447735,"NA ","aru01","lwma"
"20210524_081000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.218373,"NA ","aru01","lwma"
"20210524_082000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.241688,"NA ","aru01","lwma"
"20210524_083000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.117231,"NA ","aru01","lwma"
"20210524_084000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.029944,"NA ","aru01","lwma"
"20210524_085000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.076226,"NA ","aru01","lwma"
"20210524_090000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.108374,"NA ","aru01","lwma"
"20210524_091000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.380226,"NA ","aru01","lwma"
"20210524_092000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.245257,"NA ","aru01","lwma"
"20210524_093000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.353839,"NA ","aru01","lwma"
"20210524_094000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.455065,"NA ","aru01","lwma"
"20210524_095000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.694673,"NA ","aru01","lwma"
"20210524_100000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.303936,"NA ","aru01","lwma"
"20210524_101000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.527827,"NA ","aru01","lwma"
"20210524_102000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.400394,"NA ","aru01","lwma"
"20210524_103000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.285405,"NA ","aru01","lwma"
"20210524_104000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.494393,"NA ","aru01","lwma"
"20210524_105000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.30802,"NA ","aru01","lwma"
"20210524_110000.WAV",48000,16,120,1,"acoustic_evenness",8000,"-",1000,0.315211,"NA ","aru01","lwma"
