"filename","samplingrate","bit","duration","channels","index","fft_w","min_freq","max_freq","left_channel","right_channel","aru","year","month","day","hour","min","second","date","time","date_time","site"
"20210516_100000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.65092145459841,"NA ","aru01",2021,5,16,10,0,0,"2021-05-16","10:00:00","2021-05-16 10:00:00","cbma"
"20210516_101000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.61886508758719,"NA ","aru01",2021,5,16,10,10,0,"2021-05-16","10:10:00","2021-05-16 10:10:00","cbma"
"20210516_102000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.61962996307688,"NA ","aru01",2021,5,16,10,20,0,"2021-05-16","10:20:00","2021-05-16 10:20:00","cbma"
"20210516_103000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.46742340756768,"NA ","aru01",2021,5,16,10,30,0,"2021-05-16","10:30:00","2021-05-16 10:30:00","cbma"
"20210516_104000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.29734915989111,"NA ","aru01",2021,5,16,10,40,0,"2021-05-16","10:40:00","2021-05-16 10:40:00","cbma"
"20210516_105000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.50823714158643,"NA ","aru01",2021,5,16,10,50,0,"2021-05-16","10:50:00","2021-05-16 10:50:00","cbma"
"20210516_110000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.03669557634101,"NA ","aru01",2021,5,16,11,0,0,"2021-05-16","11:00:00","2021-05-16 11:00:00","cbma"
"20210516_111000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.2304180838608,"NA ","aru01",2021,5,16,11,10,0,"2021-05-16","11:10:00","2021-05-16 11:10:00","cbma"
"20210516_112000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.50526834752859,"NA ","aru01",2021,5,16,11,20,0,"2021-05-16","11:20:00","2021-05-16 11:20:00","cbma"
"20210516_113000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.56268214625412,"NA ","aru01",2021,5,16,11,30,0,"2021-05-16","11:30:00","2021-05-16 11:30:00","cbma"
"20210516_114000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.41895506513524,"NA ","aru01",2021,5,16,11,40,0,"2021-05-16","11:40:00","2021-05-16 11:40:00","cbma"
"20210516_115000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.49888588250212,"NA ","aru01",2021,5,16,11,50,0,"2021-05-16","11:50:00","2021-05-16 11:50:00","cbma"
"20210516_120000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.57928451005157,"NA ","aru01",2021,5,16,12,0,0,"2021-05-16","12:00:00","2021-05-16 12:00:00","cbma"
