filename,samplingrate,bit,duration,channels,index,fft_w,min_freq,max_freq,left_channel,right_channel,aru,site
20210516_050000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.961697654,NA ,aru01,cbma
20210516_051000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.750438689,NA ,aru01,cbma
20210516_052000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.682887245,NA ,aru01,cbma
20210516_053000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.638183003,NA ,aru01,cbma
20210516_054000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.605495782,NA ,aru01,cbma
20210516_055000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.573586383,NA ,aru01,cbma
20210516_060000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.585907812,NA ,aru01,cbma
20210516_061000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.578377917,NA ,aru01,cbma
20210516_062000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.619954494,NA ,aru01,cbma
20210516_063000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.533208988,NA ,aru01,cbma
20210516_064000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.536805082,NA ,aru01,cbma
20210516_065000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.59603683,NA ,aru01,cbma
20210516_070000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.557712869,NA ,aru01,cbma
20210516_071000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.51161658,NA ,aru01,cbma
20210516_072000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.531099227,NA ,aru01,cbma
20210516_073000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.537088781,NA ,aru01,cbma
20210516_074000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.632137623,NA ,aru01,cbma
20210516_075000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.654256043,NA ,aru01,cbma
20210516_080000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.636106526,NA ,aru01,cbma
20210516_081000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.627011676,NA ,aru01,cbma
20210516_082000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.668314828,NA ,aru01,cbma
20210516_083000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.713374613,NA ,aru01,cbma
20210516_084000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.743210527,NA ,aru01,cbma
20210516_085000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.790850884,NA ,aru01,cbma
20210516_090000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.661798801,NA ,aru01,cbma
20210516_091000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.688525056,NA ,aru01,cbma
20210516_092000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.648672885,NA ,aru01,cbma
20210516_093000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.614284308,NA ,aru01,cbma
20210516_094000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.668289768,NA ,aru01,cbma
20210516_095000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.635810999,NA ,aru01,cbma
20210516_100000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.650921455,NA ,aru01,cbma
20210516_101000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.618865088,NA ,aru01,cbma
20210516_102000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.619629963,NA ,aru01,cbma
20210516_103000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.467423408,NA ,aru01,cbma
20210516_104000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.29734916,NA ,aru01,cbma
20210516_105000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.508237142,NA ,aru01,cbma
20210516_110000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.036695576,NA ,aru01,cbma
20210516_111000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.230418084,NA ,aru01,cbma
20210516_112000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.505268348,NA ,aru01,cbma
20210516_113000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.562682146,NA ,aru01,cbma
20210516_114000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.418955065,NA ,aru01,cbma
20210516_115000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.498885883,NA ,aru01,cbma
20210516_120000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.57928451,NA ,aru01,cbma
20210516_121000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.577502977,NA ,aru01,cbma
20210516_122000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.525801557,NA ,aru01,cbma
20210516_123000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.457283535,NA ,aru01,cbma
20210516_124000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.453497373,NA ,aru01,cbma
20210516_125000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.258747833,NA ,aru01,cbma
20210517_050000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.723041118,NA ,aru01,cbma
20210517_051000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.596657596,NA ,aru01,cbma
20210517_052000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.548488196,NA ,aru01,cbma
20210517_053000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.604099574,NA ,aru01,cbma
20210517_054000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.532567284,NA ,aru01,cbma
20210517_055000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.524831556,NA ,aru01,cbma
20210517_060000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.613944224,NA ,aru01,cbma
20210517_061000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.549813924,NA ,aru01,cbma
