FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
20210516_050000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.96169765384782,NA 
20210516_051000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.75043868866048,NA 
20210516_052000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.68288724532091,NA 
20210516_053000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.63818300306634,NA 
20210516_054000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.60549578160777,NA 
20210516_055000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.57358638261406,NA 
20210516_060000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.58590781192687,NA 
20210516_061000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.57837791651767,NA 
20210516_062000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.61995449403864,NA 
20210516_063000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.53320898789177,NA 
20210516_064000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.53680508208296,NA 
20210516_065000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.59603682984462,NA 
20210516_070000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.55771286892523,NA 
20210516_071000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.51161657983375,NA 
20210516_072000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.53109922679875,NA 
20210516_073000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.53708878104395,NA 
20210516_074000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.63213762322051,NA 
20210516_075000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.65425604312691,NA 
20210516_080000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.63610652604673,NA 
20210516_081000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.62701167639615,NA 
20210516_082000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.66831482829951,NA 
20210516_083000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.71337461326645,NA 
20210516_084000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.7432105274749,NA 
20210516_085000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.79085088387566,NA 
20210516_090000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.66179880074314,NA 
20210516_091000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.68852505588078,NA 
20210516_092000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.64867288474073,NA 
20210516_093000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.61428430777689,NA 
20210516_094000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.66828976807934,NA 
20210516_095000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.63581099852632,NA 
20210516_100000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.65092145459841,NA 
20210516_101000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.61886508758719,NA 
20210516_102000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.61962996307688,NA 
20210516_103000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.46742340756768,NA 
20210516_104000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.29734915989111,NA 
20210516_105000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,2.50823714158643,NA 
20210516_110000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.03669557634101,NA 
20210516_111000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.2304180838608,NA 
20210516_112000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.50526834752859,NA 
20210516_113000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.56268214625412,NA 
20210516_114000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.41895506513524,NA 
20210516_115000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.49888588250212,NA 
20210516_120000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.57928451005157,NA 
20210516_121000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.57750297733724,NA 
20210516_122000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.52580155741292,NA 
20210516_123000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.45728353507361,NA 
20210516_124000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.45349737320481,NA 
20210516_125000.WAV,48000,16,120,1,bioacoustic_index,512,1000,8000,3.25874783324084,NA 
