"filename","samplingrate","bit","duration","channels","index","fft_w","min_freq","max_freq","left_channel","right_channel","aru","year","month","day","hour","min","second","date","time","date_time"
"20210516_102000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.2914125137474,"NA ","aru04","2021","05","16","10","20","00","2021-05-16","10:20:00",2021-05-16 10:20:00
"20210516_103000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.26578335004503,"NA ","aru04","2021","05","16","10","30","00","2021-05-16","10:30:00",2021-05-16 10:30:00
"20210516_104000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.68677591090083,"NA ","aru04","2021","05","16","10","40","00","2021-05-16","10:40:00",2021-05-16 10:40:00
"20210516_105000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.02705206133535,"NA ","aru04","2021","05","16","10","50","00","2021-05-16","10:50:00",2021-05-16 10:50:00
"20210516_110000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.06990044443635,"NA ","aru04","2021","05","16","11","00","00","2021-05-16","11:00:00",2021-05-16 11:00:00
"20210516_111000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.73476267812111,"NA ","aru04","2021","05","16","11","10","00","2021-05-16","11:10:00",2021-05-16 11:10:00
"20210516_112000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.52441187651853,"NA ","aru04","2021","05","16","11","20","00","2021-05-16","11:20:00",2021-05-16 11:20:00
"20210516_113000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.45667632969178,"NA ","aru04","2021","05","16","11","30","00","2021-05-16","11:30:00",2021-05-16 11:30:00
"20210516_114000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.22010115198732,"NA ","aru04","2021","05","16","11","40","00","2021-05-16","11:40:00",2021-05-16 11:40:00
"20210516_115000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.26700575987808,"NA ","aru04","2021","05","16","11","50","00","2021-05-16","11:50:00",2021-05-16 11:50:00
"20210516_120000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.5308419282855,"NA ","aru04","2021","05","16","12","00","00","2021-05-16","12:00:00",2021-05-16 12:00:00
"20210516_121000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.32089322021638,"NA ","aru04","2021","05","16","12","10","00","2021-05-16","12:10:00",2021-05-16 12:10:00
"20210516_122000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.5570249243004,"NA ","aru04","2021","05","16","12","20","00","2021-05-16","12:20:00",2021-05-16 12:20:00
"20210516_123000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,5.3898395918131,"NA ","aru04","2021","05","16","12","30","00","2021-05-16","12:30:00",2021-05-16 12:30:00
"20210516_124000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.3193977911055,"NA ","aru04","2021","05","16","12","40","00","2021-05-16","12:40:00",2021-05-16 12:40:00
"20210516_125000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.87243903588348,"NA ","aru04","2021","05","16","12","50","00","2021-05-16","12:50:00",2021-05-16 12:50:00
"20210517_050000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.6070203064198,"NA ","aru04","2021","05","17","05","00","00","2021-05-17","05:00:00",2021-05-17 05:00:00
"20210517_051000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.26047108376573,"NA ","aru04","2021","05","17","05","10","00","2021-05-17","05:10:00",2021-05-17 05:10:00
"20210517_052000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,1.74209787134746,"NA ","aru04","2021","05","17","05","20","00","2021-05-17","05:20:00",2021-05-17 05:20:00
"20210517_053000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.23900166179186,"NA ","aru04","2021","05","17","05","30","00","2021-05-17","05:30:00",2021-05-17 05:30:00
"20210517_054000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.58451793357203,"NA ","aru04","2021","05","17","05","40","00","2021-05-17","05:40:00",2021-05-17 05:40:00
"20210517_055000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.08540064286293,"NA ","aru04","2021","05","17","05","50","00","2021-05-17","05:50:00",2021-05-17 05:50:00
"20210517_060000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.96519568113263,"NA ","aru04","2021","05","17","06","00","00","2021-05-17","06:00:00",2021-05-17 06:00:00
"20210517_061000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.72835136926153,"NA ","aru04","2021","05","17","06","10","00","2021-05-17","06:10:00",2021-05-17 06:10:00
"20210517_062000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,5.53880011707376,"NA ","aru04","2021","05","17","06","20","00","2021-05-17","06:20:00",2021-05-17 06:20:00
"20210517_063000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.00137470241415,"NA ","aru04","2021","05","17","06","30","00","2021-05-17","06:30:00",2021-05-17 06:30:00
"20210517_064000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.23410801371429,"NA ","aru04","2021","05","17","06","40","00","2021-05-17","06:40:00",2021-05-17 06:40:00
"20210517_065000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.39589236394984,"NA ","aru04","2021","05","17","06","50","00","2021-05-17","06:50:00",2021-05-17 06:50:00
"20210517_070000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.87044678333189,"NA ","aru04","2021","05","17","07","00","00","2021-05-17","07:00:00",2021-05-17 07:00:00
"20210517_071000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.91825600241749,"NA ","aru04","2021","05","17","07","10","00","2021-05-17","07:10:00",2021-05-17 07:10:00
"20210517_072000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.71538602502085,"NA ","aru04","2021","05","17","07","20","00","2021-05-17","07:20:00",2021-05-17 07:20:00
"20210517_073000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.580658634713,"NA ","aru04","2021","05","17","07","30","00","2021-05-17","07:30:00",2021-05-17 07:30:00
"20210517_074000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,5.03619008806235,"NA ","aru04","2021","05","17","07","40","00","2021-05-17","07:40:00",2021-05-17 07:40:00
"20210517_075000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,4.8281570544085,"NA ","aru04","2021","05","17","07","50","00","2021-05-17","07:50:00",2021-05-17 07:50:00
"20210517_080000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,5.65899269208846,"NA ","aru04","2021","05","17","08","00","00","2021-05-17","08:00:00",2021-05-17 08:00:00
"20210517_081000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,5.97377049442271,"NA ","aru04","2021","05","17","08","10","00","2021-05-17","08:10:00",2021-05-17 08:10:00
"20210517_082000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.38984629084032,"NA ","aru04","2021","05","17","08","20","00","2021-05-17","08:20:00",2021-05-17 08:20:00
"20210517_083000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,3.24641073665746,"NA ","aru04","2021","05","17","08","30","00","2021-05-17","08:30:00",2021-05-17 08:30:00
"20210517_084000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,8.20555050449892,"NA ","aru04","2021","05","17","08","40","00","2021-05-17","08:40:00",2021-05-17 08:40:00
"20210517_085000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,6.07233078953011,"NA ","aru04","2021","05","17","08","50","00","2021-05-17","08:50:00",2021-05-17 08:50:00
"20210517_090000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.85422720471244,"NA ","aru04","2021","05","17","09","00","00","2021-05-17","09:00:00",2021-05-17 09:00:00
"20210517_091000.WAV",48000,16,120,1,"bioacoustic_index",512,1000,8000,2.45023690057452,"NA ","aru04","2021","05","17","09","10","00","2021-05-17","09:10:00",2021-05-17 09:10:00
