FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL
20210516_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1825.73521321597,NA 
20210516_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.79610125034,NA 
20210516_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.730793327,NA 
20210516_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1821.37413399829,NA 
20210516_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1960.46539969996,NA 
20210516_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1827.60138114312,NA 
20210516_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1998.77425033152,NA 
20210516_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,2198.84067114753,NA 
20210516_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1980.82585187937,NA 
20210516_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1829.30788958545,NA 
20210516_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1873.71566038001,NA 
20210516_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1843.78399398271,NA 
20210516_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1848.75772783244,NA 
20210516_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1847.45641440677,NA 
20210516_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1876.14014735798,NA 
20210516_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1872.3941463928,NA 
20210516_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1873.88191393665,NA 
20210516_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,2027.90254373531,NA 
20210516_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1875.61496125457,NA 
20210516_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1839.370944993,NA 
20210516_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1821.41658710503,NA 
20210516_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1843.33655065816,NA 
20210516_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1862.86097122982,NA 
20210516_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1830.04363478324,NA 
20210516_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1869.34275350531,NA 
20210516_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1868.32398550307,NA 
20210516_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1940.75409678476,NA 
20210516_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1884.70684976937,NA 
20210516_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1875.78040396602,NA 
20210516_095000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1847.14685027211,NA 
20210516_100000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1860.51238283475,NA 
20210516_101000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1968.74459269017,NA 
20210516_102000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1870.99121841907,NA 
20210516_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1873.23297937962,NA 
20210516_104000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1853.51863318201,NA 
20210516_105000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1863.07713843783,NA 
20210516_110000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1938.90009874089,NA 
20210516_111000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1873.47974978907,NA 
20210516_112000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1858.11407188633,NA 
20210516_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1870.04249203137,NA 
20210516_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1853.60598311169,NA 
20210516_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1895.13005493115,NA 
20210516_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1899.78895238684,NA 
20210516_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1855.97950220077,NA 
20210516_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1855.59854396931,NA 
20210516_123000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1836.23628430141,NA 
20210516_124000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1892.859951329,NA 
20210516_125000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1837.67209888288,NA 
20210517_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1828.17010706263,NA 
20210517_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1819.41264735772,NA 
20210517_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1822.16476561304,NA 
20210517_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1819.91746008177,NA 
20210517_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,2002.76854592872,NA 
20210517_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1935.06190456916,NA 
20210517_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1893.4179336367,NA 
20210517_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1920.50497389456,NA 
20210517_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1884.57630869741,NA 
20210517_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1949.23202208906,NA 
20210517_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1907.47861574785,NA 
20210517_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1914.98453861342,NA 
20210517_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1887.83222919886,NA 
20210517_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1898.13911538866,NA 
20210517_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1944.98033900109,NA 
20210517_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1869.7842008897,NA 
20210517_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1850.47563249877,NA 
20210517_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1869.97490826465,NA 
20210517_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1855.89333035944,NA 
20210517_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1906.28790013084,NA 
20210517_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1854.02636503653,NA 
20210517_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1916.83776185923,NA 
20210517_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1995.2348762359,NA 
20210517_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1853.02890198702,NA 
20210517_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1896.23560520061,NA 
20210517_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1867.31131530144,NA 
20210517_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1872.88120473223,NA 
20210517_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1884.6130197148,NA 
20210517_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1867.40362110511,NA 
20210517_095000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1895.71456987654,NA 
20210517_100000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1951.0910063159,NA 
20210517_101000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1998.10468268334,NA 
20210517_102000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1909.07630393944,NA 
20210517_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1938.42746787926,NA 
20210517_104000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1888.52261131012,NA 
20210517_105000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1851.25165155384,NA 
20210517_110000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1906.69543712868,NA 
20210517_111000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1877.90807984998,NA 
20210517_112000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1867.03169651849,NA 
20210517_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1878.41439299968,NA 
20210517_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1842.5874736649,NA 
20210517_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1872.62981505667,NA 
20210517_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1876.48044614127,NA 
20210517_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1879.16273850424,NA 
20210517_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1886.90127454232,NA 
20210517_123000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1879.82328497179,NA 
20210517_124000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1905.69287100916,NA 
20210517_125000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1928.28108785414,NA 
20210518_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1831.46492781939,NA 
20210518_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1834.47349276064,NA 
20210518_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1824.7560470468,NA 
