FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL
20210516_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.16515148082,NA 
20210516_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.70488300865,NA 
20210516_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.57809140548,NA 
20210516_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1812.54622632565,NA 
20210516_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1819.39716990143,NA 
20210516_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.58222622303,NA 
20210516_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.62667869739,NA 
20210516_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.31218068646,NA 
20210516_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.11748044044,NA 
20210516_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.89126182085,NA 
20210516_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.68923450139,NA 
20210516_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.82733596992,NA 
20210516_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.39266801856,NA 
20210516_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.91753956427,NA 
20210516_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.68117370728,NA 
20210516_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.1855532696,NA 
20210516_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.9141554324,NA 
20210516_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.78662537076,NA 
20210516_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.53077475232,NA 
20210516_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.27951317808,NA 
20210516_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.25734089235,NA 
20210516_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.07782426169,NA 
20210516_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.07760741936,NA 
20210516_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.1936319605,NA 
20210516_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.12818076763,NA 
20210516_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.09973579168,NA 
20210516_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.24508938365,NA 
20210516_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.52179450544,NA 
20210516_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.8349671962,NA 
