"FILENAME","SAMPLINGRATE","BIT","DURATION","CHANNELS","INDEX","MAX_FREQ","DB_THRESHOLD","FREQ_STEPS","LEFT_CHANNEL","RIGHT_CHANNEL","aru","site","FFT_W","MIN_FREQ","J"
"20210516_124000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210516_125000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_050000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_051000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_052000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_053000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_054000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_055000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_060000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_061000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_062000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_063000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_064000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_065000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_070000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_071000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_072000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
"20210517_073000.WAV",48000,16,120,1,"acoustic_diversity",12000,-70,1000,2.484907,"NA ","aru01","cbma",NA,NA,NA
