FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL,aru,site
20210516_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.165151,NA ,aru01,cbma
20210516_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.704883,NA ,aru01,cbma
20210516_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.578091,NA ,aru01,cbma
20210516_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1812.546226,NA ,aru01,cbma
20210516_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1819.39717,NA ,aru01,cbma
20210516_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.582226,NA ,aru01,cbma
20210516_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.626679,NA ,aru01,cbma
20210516_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.312181,NA ,aru01,cbma
20210516_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.11748,NA ,aru01,cbma
20210516_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.891262,NA ,aru01,cbma
20210516_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.689235,NA ,aru01,cbma
20210516_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.827336,NA ,aru01,cbma
20210516_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.392668,NA ,aru01,cbma
20210516_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.91754,NA ,aru01,cbma
20210516_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.681174,NA ,aru01,cbma
20210516_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.185553,NA ,aru01,cbma
20210516_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.914155,NA ,aru01,cbma
20210516_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.786625,NA ,aru01,cbma
20210516_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.530775,NA ,aru01,cbma
20210516_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.279513,NA ,aru01,cbma
20210516_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.257341,NA ,aru01,cbma
20210516_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.077824,NA ,aru01,cbma
20210516_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.077607,NA ,aru01,cbma
20210516_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.193632,NA ,aru01,cbma
20210516_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.128181,NA ,aru01,cbma
20210516_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.099736,NA ,aru01,cbma
20210516_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.245089,NA ,aru01,cbma
20210516_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.521795,NA ,aru01,cbma
20210516_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.834967,NA ,aru01,cbma
20210516_095000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.845383,NA ,aru01,cbma
20210516_100000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.124297,NA ,aru01,cbma
20210516_101000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.827515,NA ,aru01,cbma
20210516_102000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.875223,NA ,aru01,cbma
20210516_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1819.182427,NA ,aru01,cbma
20210516_104000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.55234,NA ,aru01,cbma
20210516_105000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.110831,NA ,aru01,cbma
20210516_110000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.128872,NA ,aru01,cbma
20210516_111000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.412939,NA ,aru01,cbma
20210516_112000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.198031,NA ,aru01,cbma
20210516_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1815.965997,NA ,aru01,cbma
20210516_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.272736,NA ,aru01,cbma
20210516_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1813.232586,NA ,aru01,cbma
20210516_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1816.081993,NA ,aru01,cbma
20210516_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1817.915056,NA ,aru01,cbma
20210516_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,12000,5,1814.321564,NA ,aru01,cbma
