FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,LEFT_CHANNEL,RIGHT_CHANNEL
20210516_050000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,6.13760061330771,NA 
20210516_051000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,4.97961744211337,NA 
20210516_052000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,6.19030663930429,NA 
20210516_053000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,7.16255193246515,NA 
20210516_054000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,6.58639880427797,NA 
20210516_055000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,5.68477508605077,NA 
20210516_060000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,7.89297583227323,NA 
20210516_061000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,7.54106013697697,NA 
20210516_062000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,9.28987738600074,NA 
20210516_063000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,10.6223437876016,NA 
20210516_064000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,6.88394989044931,NA 
20210516_065000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,9.53177929187468,NA 
20210516_070000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,9.58078548033218,NA 
20210516_071000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,11.4387317847925,NA 
20210516_072000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,10.9958895614263,NA 
20210516_073000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,6.99348448858533,NA 
20210516_074000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,7.12648117995396,NA 
20210516_075000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,9.25548320236356,NA 
20210516_080000.WAV,48000,16,120,1,bioacoustic_index,512,2000,12000,6.92817124612383,NA 
