"contrast","estimate","SE","df","t.ratio","p.value","sig.","estimate_e","SE_e","t.ratio_e","p.value_e","sig._e","estimate_m","SE_m","t.ratio_m","p.value_m","sig._m","estimate_l","SE_l","t.ratio_l","p.value_l","sig._l"
"SSWMA:Extremely Humid - LWMA:Extremely Humid",-0.413,0.139,1343,-2.967,"0.003","**",-1.307,0.156,-8.384,"<0.001","***",0.128,0.367,0.349,"0.727"," ",1.025,0.766,1.339,"0.181"," "
"CBMA:Extremely Humid - LWMA:Extremely Humid",0.162,0.14,1343,1.159,"0.247"," ",-0.208,0.15,-1.392,"0.164"," ",1.374,0.367,3.747,"<0.001","***",3.296,0.766,4.3,"<0.001","***"
"KIOWA:Extremely Humid - LWMA:Extremely Humid",-0.482,0.138,1343,-3.491,"<0.001","***",-0.325,0.156,-2.082,"0.038","*",1.069,0.442,2.418,"0.016","*",NA,NA,NA,NA,NA
"CBMA:Extremely Humid - SSWMA:Extremely Humid",0.575,0.12,1343,4.776,"<0.001","***",1.099,0.126,8.723,"<0.001","***",1.246,0.271,4.603,"<0.001","***",2.271,0.767,2.962,"0.003","**"
"KIOWA:Extremely Humid - SSWMA:Extremely Humid",-0.069,0.118,1343,-0.582,"0.561"," ",0.982,0.133,7.361,"<0.001","***",0.941,0.367,2.568,"0.01","*",NA,NA,NA,NA,NA
"KIOWA:Extremely Humid - CBMA:Extremely Humid",-0.644,0.119,1343,-5.408,"<0.001","***",-0.116,0.126,-0.923,"0.356"," ",-0.305,0.366,-0.831,"0.406"," ",NA,NA,NA,NA,NA
"SSWMA:Humid - LWMA:Humid",-0.218,0.119,1343,-1.827,"0.068",".",-1.01,0.111,-9.089,"<0.001","***",-1.028,0.164,-6.267,"<0.001","***",-0.261,0.215,-1.214,"0.225"," "
"CBMA:Humid - LWMA:Humid",0.288,0.121,1343,2.374,"0.018","*",-0.183,0.121,-1.512,"0.131"," ",0.081,0.153,0.525,"0.6"," ",0.268,0.21,1.279,"0.201"," "
"KIOWA:Humid - LWMA:Humid",-0.385,0.132,1343,-2.923,"0.004","**",-0.2,0.116,-1.72,"0.086",".",0.117,0.157,0.745,"0.456"," ",0.355,0.21,1.691,"0.091","."
"CBMA:Humid - SSWMA:Humid",0.506,0.129,1343,3.909,"<0.001","***",0.827,0.126,6.54,"<0.001","***",1.108,0.145,7.63,"<0.001","***",0.529,0.226,2.342,"0.019","*"
"KIOWA:Humid - SSWMA:Humid",-0.167,0.139,1343,-1.2,"0.23"," ",0.81,0.121,6.672,"<0.001","***",1.145,0.149,7.66,"<0.001","***",0.616,0.226,2.722,"0.007","**"
"KIOWA:Humid - CBMA:Humid",-0.673,0.141,1343,-4.774,"<0.001","***",-0.016,0.131,-0.124,"0.901"," ",0.037,0.138,0.265,"0.791"," ",0.086,0.221,0.391,"0.696"," "
"SSWMA:Normal - LWMA:Normal",0.252,0.271,1343,0.931,"0.352"," ",-0.422,0.257,-1.641,"0.101"," ",-0.773,0.124,-6.221,"<0.001","***",-1.421,0.172,-8.253,"<0.001","***"
"CBMA:Normal - LWMA:Normal",0.656,0.237,1343,2.767,"0.006","**",0.557,0.235,2.372,"0.018","*",-0.057,0.133,-0.423,"0.672"," ",-0.449,0.168,-2.675,"0.008","**"
"KIOWA:Normal - LWMA:Normal",-0.064,0.244,1343,-0.262,"0.793"," ",0.216,0.248,0.873,"0.383"," ",0.005,0.121,0.039,"0.969"," ",-0.857,0.167,-5.145,"<0.001","***"
"CBMA:Normal - SSWMA:Normal",0.404,0.237,1343,1.705,"0.088",".",0.979,0.218,4.486,"<0.001","***",0.716,0.133,5.364,"<0.001","***",0.972,0.137,7.105,"<0.001","***"
"KIOWA:Normal - SSWMA:Normal",-0.316,0.244,1343,-1.298,"0.195"," ",0.639,0.232,2.755,"0.006","**",0.777,0.121,6.412,"<0.001","***",0.564,0.135,4.17,"<0.001","***"
"KIOWA:Normal - CBMA:Normal",-0.72,0.206,1343,-3.505,"<0.001","***",-0.341,0.207,-1.647,"0.1"," ",0.061,0.131,0.469,"0.639"," ",-0.408,0.13,-3.151,"0.002","**"
"SSWMA:Arid - LWMA:Arid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.489,0.176,-2.781,"0.005","**",-0.491,0.12,-4.078,"<0.001","***"
"CBMA:Arid - LWMA:Arid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.444,0.171,2.592,"0.01","*",0.122,0.125,0.974,"0.33"," "
"KIOWA:Arid - LWMA:Arid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014,0.191,0.076,"0.94"," ",-0.451,0.128,-3.535,"<0.001","***"
"CBMA:Arid - SSWMA:Arid",1.535,0.442,1343,3.472,"0.001","**",-0.038,0.542,-0.071,"0.944"," ",0.933,0.171,5.442,"<0.001","***",0.613,0.125,4.916,"<0.001","***"
"KIOWA:Arid - SSWMA:Arid",0.01,0.367,1343,0.027,"0.978"," ",0.084,0.425,0.198,"0.843"," ",0.503,0.191,2.635,"0.009","**",0.04,0.127,0.313,"0.754"," "
"KIOWA:Arid - CBMA:Arid",-1.525,0.367,1343,-4.161,"<0.001","***",0.122,0.423,0.289,"0.772"," ",-0.43,0.187,-2.298,"0.022","*",-0.573,0.132,-4.356,"<0.001","***"
