"contrast","estimate","SE","df","t.ratio","p.value","sig."
"SSWMA - LWMA",-1.579,0.189,120,-8.334,"<0.001","***"
"CBMA - LWMA",-2.077,0.185,120,-11.248,"<0.001","***"
"KIOWA - LWMA",0.274,0.194,120,1.412,"0.161"," "
"CBMA - SSWMA",-0.498,0.174,120,-2.866,"0.005","**"
"KIOWA - SSWMA",1.853,0.183,120,10.126,"<0.001","***"
"KIOWA - CBMA",2.351,0.177,120,13.307,"<0.001","***"
