"contrast","estimate","SE","df","t.ratio","p.value","sig."
"SSWMA - LWMA",-1.333,0.147,199,-9.043,"<0.001","***"
"CBMA - LWMA",-1.82,0.14,199,-12.967,"<0.001","***"
"KIOWA - LWMA",0.577,0.15,199,3.851,"<0.001","***"
"CBMA - SSWMA",-0.487,0.145,199,-3.367,"0.001","**"
"KIOWA - SSWMA",1.91,0.152,199,12.548,"<0.001","***"
"KIOWA - CBMA",2.397,0.144,199,16.66,"<0.001","***"
