Station_ID, Name, Latitude, Longitude, Elevation (ft), Date_Time (UTC),Peak_Wind Direction (Degrees), Peak_Wind Speed (mph), Wind Direction 10m (deg), Wind Gust 10m (kn), Wind Speed 10m (kn), 
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T02:51:00Z,null,null,170,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T02:55:00Z,null,null,180,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:00:00Z,null,null,180,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:05:00Z,null,null,170,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:10:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:15:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:20:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:25:00Z,null,null,170,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:30:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:35:00Z,null,null,160,,4,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:40:00Z,null,null,170,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:45:00Z,null,null,170,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:50:00Z,null,null,170,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:51:00Z,null,null,170,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T03:55:00Z,null,null,170,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:00:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:05:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:10:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:15:00Z,null,null,160,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:20:00Z,null,null,160,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:25:00Z,null,null,160,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:30:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:35:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:40:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:45:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:50:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:51:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T04:55:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:00:00Z,null,null,170,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:05:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:10:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:15:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:20:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:25:00Z,null,null,170,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:30:00Z,null,null,160,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:35:00Z,null,null,160,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:40:00Z,null,null,160,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:45:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:50:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:51:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T05:55:00Z,null,null,170,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:00:00Z,null,null,170,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:05:00Z,null,null,170,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:10:00Z,null,null,160,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:15:00Z,null,null,170,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:20:00Z,null,null,170,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:25:00Z,null,null,170,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:30:00Z,null,null,170,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:35:00Z,null,null,170,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:40:00Z,null,null,170,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:45:00Z,null,null,170,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:50:00Z,null,null,170,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:51:00Z,null,null,170,,12,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T06:55:00Z,null,null,170,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:00:00Z,null,null,170,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:05:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:10:00Z,null,null,170,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:15:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:20:00Z,null,null,180,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:25:00Z,null,null,170,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:30:00Z,null,null,180,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:35:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:40:00Z,null,null,180,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:45:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:50:00Z,null,null,190,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:51:00Z,null,null,190,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T07:55:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:00:00Z,null,null,180,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:05:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:10:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:15:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:20:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:25:00Z,null,null,180,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:30:00Z,null,null,190,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:35:00Z,null,null,190,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:40:00Z,null,null,180,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:45:00Z,null,null,180,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:50:00Z,null,null,180,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:51:00Z,null,null,180,,11,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T08:55:00Z,null,null,180,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:00:00Z,null,null,190,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:05:00Z,null,null,180,,8,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:10:00Z,null,null,190,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:15:00Z,null,null,180,,9,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:20:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:25:00Z,null,null,180,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:30:00Z,null,null,190,,10,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:35:00Z,null,null,200,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:40:00Z,null,null,260,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:45:00Z,null,null,270,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:50:00Z,null,null,260,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:51:00Z,null,null,250,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T09:55:00Z,null,null,230,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:00:00Z,null,null,230,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:05:00Z,null,null,250,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:10:00Z,null,null,270,,6,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:15:00Z,null,null,270,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:20:00Z,null,null,260,,5,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:25:00Z,null,null,250,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:30:00Z,null,null,240,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:35:00Z,null,null,230,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:40:00Z,null,null,240,,7,
KBGD,Borger Hutchinson County Airport,35.695,-101.395,3054,2021-05-01T10:45:00Z,null,null,230,,6,
