FILENAME,SAMPLINGRATE,BIT,DURATION,CHANNELS,INDEX,FFT_W,MIN_FREQ,MAX_FREQ,J,LEFT_CHANNEL,RIGHT_CHANNEL
20210615_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1467.10261698055,NA 
20210704_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1480.52383877686,NA 
20210704_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1452.03187080611,NA 
20210704_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1409.37124814301,NA 
20210704_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1298.15834297491,NA 
20210704_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1307.14563615791,NA 
20210704_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1466.06081411295,NA 
20210704_123000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1258.68071504303,NA 
20210704_124000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1507.45147126439,NA 
20210704_125000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1367.21672552997,NA 
20210705_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1298.68327661454,NA 
20210705_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1256.97810727963,NA 
20210705_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1259.46678721703,NA 
20210705_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1238.71674501796,NA 
20210705_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1256.30099698067,NA 
20210705_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1309.92461226448,NA 
20210705_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1333.78088637147,NA 
20210705_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1296.79039857099,NA 
20210705_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1330.53526240671,NA 
20210705_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1444.49737795868,NA 
20210705_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1373.09015380146,NA 
20210705_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1392.86164553484,NA 
20210705_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1388.31868473513,NA 
20210705_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1388.75443213625,NA 
20210705_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1428.37483485191,NA 
20210705_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1422.78014132943,NA 
20210705_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1483.43253124068,NA 
20210705_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1476.78824580118,NA 
20210705_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1469.63818531109,NA 
20210705_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1507.84007952279,NA 
20210705_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1477.51758707308,NA 
20210705_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1471.97298459322,NA 
20210705_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1506.1840124853,NA 
20210705_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1499.64484638065,NA 
20210705_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1483.73489634609,NA 
20210705_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1504.48845970632,NA 
20210705_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1553.22147268257,NA 
20210705_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1598.31272168663,NA 
20210705_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1530.89342984095,NA 
20210705_095000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1484.17941845148,NA 
20210705_100000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1427.58901352996,NA 
20210705_101000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1451.64924333612,NA 
20210705_102000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1427.3434448814,NA 
20210705_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1376.07850651881,NA 
20210705_104000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1379.80063468403,NA 
20210705_105000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1393.8665542571,NA 
20210705_110000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1438.76792807382,NA 
20210705_111000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1395.51806300629,NA 
20210705_112000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1434.36516232464,NA 
20210705_113000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1314.5454004917,NA 
20210705_114000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1329.31328409527,NA 
20210705_115000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1315.69034523043,NA 
20210705_120000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1280.37614648771,NA 
20210705_121000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1335.16011650715,NA 
20210705_122000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1262.83853852185,NA 
20210705_123000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1286.32415672244,NA 
20210705_124000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1281.71828656085,NA 
20210705_125000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1362.2504862306,NA 
20210706_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1276.87281662088,NA 
20210706_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1271.30239893343,NA 
20210706_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1278.73153617828,NA 
20210706_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1238.71203289905,NA 
20210706_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1263.37326175864,NA 
20210706_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1467.14253433551,NA 
20210706_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1350.77819472709,NA 
