filename,samplingrate,bit,duration,channels,index,fft_w,min_freq,max_freq,j,left_channel,right_channel,aru,year,month,day,hour,min,second,date,time,date_time,site
20210521_050000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1325.317335,NA ,aru01,sswma,,,,,,,,,
20210521_051000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1319.606438,NA ,aru01,sswma,,,,,,,,,
20210521_052000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1356.49089,NA ,aru01,sswma,,,,,,,,,
20210521_053000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1327.72594,NA ,aru01,sswma,,,,,,,,,
20210521_054000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1340.102668,NA ,aru01,sswma,,,,,,,,,
20210521_055000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1299.351114,NA ,aru01,sswma,,,,,,,,,
20210521_060000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1350.384638,NA ,aru01,sswma,,,,,,,,,
20210521_061000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1314.697551,NA ,aru01,sswma,,,,,,,,,
20210521_062000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1350.160706,NA ,aru01,sswma,,,,,,,,,
20210521_063000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1311.227563,NA ,aru01,sswma,,,,,,,,,
20210521_064000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1296.586924,NA ,aru01,sswma,,,,,,,,,
20210521_065000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1309.468683,NA ,aru01,sswma,,,,,,,,,
20210521_070000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1279.566746,NA ,aru01,sswma,,,,,,,,,
20210521_071000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1287.015507,NA ,aru01,sswma,,,,,,,,,
20210521_072000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1301.891431,NA ,aru01,sswma,,,,,,,,,
20210521_073000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1312.693869,NA ,aru01,sswma,,,,,,,,,
20210521_074000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1300.503493,NA ,aru01,sswma,,,,,,,,,
20210521_075000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1258.694389,NA ,aru01,sswma,,,,,,,,,
20210521_080000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1256.463628,NA ,aru01,sswma,,,,,,,,,
20210521_081000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1263.14209,NA ,aru01,sswma,,,,,,,,,
20210521_082000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1274.254446,NA ,aru01,sswma,,,,,,,,,
20210521_083000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1249.254833,NA ,aru01,sswma,,,,,,,,,
20210521_084000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1250.479361,NA ,aru01,sswma,,,,,,,,,
20210521_085000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1255.34425,NA ,aru01,sswma,,,,,,,,,
20210521_090000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1251.055475,NA ,aru01,sswma,,,,,,,,,
20210521_091000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1227.986643,NA ,aru01,sswma,,,,,,,,,
20210521_092000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1276.965749,NA ,aru01,sswma,,,,,,,,,
20210521_093000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1260.173891,NA ,aru01,sswma,,,,,,,,,
20210521_094000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1252.712801,NA ,aru01,sswma,,,,,,,,,
20210521_095000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1309.833539,NA ,aru01,sswma,,,,,,,,,
20210521_100000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1270.069745,NA ,aru01,sswma,,,,,,,,,
20210521_101000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1251.583508,NA ,aru01,sswma,,,,,,,,,
20210521_102000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1244.14084,NA ,aru01,sswma,,,,,,,,,
20210521_103000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1260.514363,NA ,aru01,sswma,,,,,,,,,
20210521_104000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1306.406603,NA ,aru01,sswma,,,,,,,,,
20210521_105000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1236.104994,NA ,aru01,sswma,,,,,,,,,
20210521_110000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1270.811331,NA ,aru01,sswma,,,,,,,,,
20210521_111000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1286.042777,NA ,aru01,sswma,,,,,,,,,
20210521_112000.WAV,48000,16,120,1,acoustic_complexity,512,1,8000,5,1269.220836,NA ,aru01,sswma,,,,,,,,,
