filename,samplingrate,bit,duration,channels,index,fft_w,min_freq,max_freq,left_channel,right_channel,aru,site
20210520_050000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.444486806,NA ,aru01,sswma
20210520_051000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.370319719,NA ,aru01,sswma
20210520_052000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.456809984,NA ,aru01,sswma
20210520_053000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.528851914,NA ,aru01,sswma
20210520_054000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.573179247,NA ,aru01,sswma
20210520_055000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,3.537543442,NA ,aru01,sswma
20210520_060000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.81217419,NA ,aru01,sswma
20210520_061000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.814389263,NA ,aru01,sswma
20210520_062000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.537480643,NA ,aru01,sswma
20210520_063000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.469786608,NA ,aru01,sswma
20210520_064000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.540731037,NA ,aru01,sswma
20210520_065000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.513816627,NA ,aru01,sswma
20210520_070000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.562185012,NA ,aru01,sswma
20210520_071000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.426655523,NA ,aru01,sswma
20210520_072000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.480766873,NA ,aru01,sswma
20210520_073000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.493516432,NA ,aru01,sswma
20210520_074000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.357765602,NA ,aru01,sswma
20210520_075000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.836229036,NA ,aru01,sswma
20210520_080000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.350272732,NA ,aru01,sswma
20210520_081000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.514685453,NA ,aru01,sswma
20210520_082000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.716206383,NA ,aru01,sswma
20210520_083000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.235161583,NA ,aru01,sswma
20210520_084000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.360817247,NA ,aru01,sswma
20210520_085000.WAV,48000,16,120,1,bioacoustic_index,512,2000,8000,1.344926128,NA ,aru01,sswma
